"VPS9D1"	"VPS9D1"
"ZFP276"	"ZFP276"
"C1QL4"	"C1QL4"
"MFSD10"	"MFSD10"
"LUZP1"	"LUZP1"
"SLC13A2"	"SLC13A2"
"KCTD10"	"KCTD10"
"POLDIP2"	"POLDIP2"
"SEBOX"	"SEBOX"
"IFT20"	"IFT20"
"COL6A1"	"COL6A1"
"PCBP3"	"PCBP3"
"LGALS9"	"LGALS9"
"ARAF"	"ARAF"
"CFP"	"CFP"
"TIMP1"	"TIMP1"
"UXT"	"UXT"
"CNNM3"	"CNNM3"
"LMAN2L"	"LMAN2L"
"MCM3AP"	"MCM3AP"
"PCNT"	"PCNT"
"FTCD"	"FTCD"
"MXD1"	"MXD1"
"SNRNP27"	"SNRNP27"
"OAS1C"	"OAS1C"
"OAS1H"	"OAS1H"
"OCRL"	"OCRL"
"CALM1"	"CALM1"
"AGPAT3"	"AGPAT3"
"SLC26A3"	"SLC26A3"
"SEMA6B"	"SEMA6B"
"UHRF1"	"UHRF1"
"DPP9"	"DPP9"
"RAMP2"	"RAMP2"
"LSR"	"LSR"
"GRAMD1A"	"GRAMD1A"
"HPN"	"HPN"
"GABRG1"	"GABRG1"
"CKB"	"CKB"
"SP1"	"SP1"
"ITGB7"	"ITGB7"
"MYG1"	"MYG1"
"RARG"	"RARG"
"PFDN5"	"PFDN5"
"EFNB2"	"EFNB2"
"RRP15"	"RRP15"
"RND2"	"RND2"
"SRR"	"SRR"
"SYNC"	"SYNC"
"FNDC5"	"FNDC5"
"ACP5"	"ACP5"
"CNN1"	"CNN1"
"FBXO9"	"FBXO9"
"VPS50"	"VPS50"
"HARS"	"HARS"
"ZMAT2"	"ZMAT2"
"UBE2C"	"UBE2C"
"SMG5"	"SMG5"
"CCT3"	"CCT3"
"GLMP"	"GLMP"
"MEF2D"	"MEF2D"
"TMEM79"	"TMEM79"
"SND1"	"SND1"
"COL18A1"	"COL18A1"
"SLC19A1"	"SLC19A1"
"KPNB1"	"KPNB1"
"NPEPPS"	"NPEPPS"
"TBX21"	"TBX21"
"MRPL10"	"MRPL10"
"CYP51"	"CYP51"
"TCF25"	"TCF25"
"TUBB6"	"TUBB6"
"DEF8"	"DEF8"
"MEOX1"	"MEOX1"
"SOST"	"SOST"
"NKX2-1"	"NKX2-1"
"PAX9"	"PAX9"
"IRX2"	"IRX2"
"COL1A1"	"COL1A1"
"ITGA3"	"ITGA3"
"SGCA"	"SGCA"
"DLX3"	"DLX3"
"FOXM1"	"FOXM1"
"ITFG2"	"ITFG2"
"NRIP2"	"NRIP2"
"TULP3"	"TULP3"
"GTF2H4"	"GTF2H4"
"TUBB5"	"TUBB5"
